"","team_short_name","variable","value"
"1","ARS","home_team_overall_ratings",869.588396239188
"2","AVL","home_team_overall_ratings",778.378561376965
"3","CHE","home_team_overall_ratings",881.575934211569
"4","EVE","home_team_overall_ratings",847.528130240303
"5","FUL","home_team_overall_ratings",835.552674274649
"6","LIV","home_team_overall_ratings",860.556603441954
"7","MCI","home_team_overall_ratings",903.45733224104
"8","MUN","home_team_overall_ratings",875.724080529714
"9","NEW","home_team_overall_ratings",820.807488030153
"10","NOR","home_team_overall_ratings",787.837652204118
"11","QPR","home_team_overall_ratings",815.623562125268
"12","REA","home_team_overall_ratings",746.148662282697
"13","SOU","home_team_overall_ratings",793.715576816683
"14","STK","home_team_overall_ratings",808.317262826779
"15","SUN","home_team_overall_ratings",817.375004036943
"16","SWA","home_team_overall_ratings",800.637123252288
"17","TOT","home_team_overall_ratings",869.442270243704
"18","WBA","home_team_overall_ratings",800.853045943569
"19","WHU","home_team_overall_ratings",798.861537471528
"20","WIG","home_team_overall_ratings",795.04020032964
"21","ARS","home_team_overall_potentials",905.044439277847
"22","AVL","home_team_overall_potentials",835.298770969369
"23","CHE","home_team_overall_potentials",919.526274740288
"24","EVE","home_team_overall_potentials",872.0597330314
"25","FUL","home_team_overall_potentials",858.127858185471
"26","LIV","home_team_overall_potentials",901.284309755533
"27","MCI","home_team_overall_potentials",932.260671566788
"28","MUN","home_team_overall_potentials",908.045270450255
"29","NEW","home_team_overall_potentials",860.015254205329
"30","NOR","home_team_overall_potentials",818.910903952369
"31","QPR","home_team_overall_potentials",851.738059983339
"32","REA","home_team_overall_potentials",788.650771077957
"33","SOU","home_team_overall_potentials",854.207158054115
"34","STK","home_team_overall_potentials",841.904852727917
"35","SUN","home_team_overall_potentials",854.263987556871
"36","SWA","home_team_overall_potentials",842.237103546509
"37","TOT","home_team_overall_potentials",906.015495466769
"38","WBA","home_team_overall_potentials",833.23308964407
"39","WHU","home_team_overall_potentials",826.949471197471
"40","WIG","home_team_overall_potentials",827.03786971139
"41","ARS","home_team_overall_staminas",769.084659196284
"42","AVL","home_team_overall_staminas",779.778565466761
"43","CHE","home_team_overall_staminas",812.84175406428
"44","EVE","home_team_overall_staminas",808.182548045051
"45","FUL","home_team_overall_staminas",760.774047036955
"46","LIV","home_team_overall_staminas",800.070956096475
"47","MCI","home_team_overall_staminas",814.899202501297
"48","MUN","home_team_overall_staminas",767.082978273089
"49","NEW","home_team_overall_staminas",801.266502211308
"50","NOR","home_team_overall_staminas",789.693559888387
"51","QPR","home_team_overall_staminas",772.448982328876
"52","REA","home_team_overall_staminas",757.211116081174
"53","SOU","home_team_overall_staminas",801.662577685944
"54","STK","home_team_overall_staminas",808.041533102501
"55","SUN","home_team_overall_staminas",805.753331906576
"56","SWA","home_team_overall_staminas",754.947573029987
"57","TOT","home_team_overall_staminas",821.294558086036
"58","WBA","home_team_overall_staminas",773.202840002019
"59","WHU","home_team_overall_staminas",802.752999418966
"60","WIG","home_team_overall_staminas",783.55403825263
"61","ARS","home_team_overall_agilities",760.625843459271
"62","AVL","home_team_overall_agilities",711.110991745669
"63","CHE","home_team_overall_agilities",802.598983452587
"64","EVE","home_team_overall_agilities",729.401392117079
"65","FUL","home_team_overall_agilities",708.27636273381
"66","LIV","home_team_overall_agilities",757.956207048848
"67","MCI","home_team_overall_agilities",761.873621244962
"68","MUN","home_team_overall_agilities",767.418224818131
"69","NEW","home_team_overall_agilities",758.57097276189
"70","NOR","home_team_overall_agilities",710.891514319014
"71","QPR","home_team_overall_agilities",751.320997973508
"72","REA","home_team_overall_agilities",681.677883509935
"73","SOU","home_team_overall_agilities",771.190902376361
"74","STK","home_team_overall_agilities",704.255286971093
"75","SUN","home_team_overall_agilities",722.292595378585
"76","SWA","home_team_overall_agilities",751.641995921952
"77","TOT","home_team_overall_agilities",778.309811361876
"78","WBA","home_team_overall_agilities",689.368119467058
"79","WHU","home_team_overall_agilities",635.122165420593
"80","WIG","home_team_overall_agilities",736.159378456792
"81","ARS","home_team_overall_aggressions",716.612736893661
"82","AVL","home_team_overall_aggressions",701.672736073042
"83","CHE","home_team_overall_aggressions",702.337021250238
"84","EVE","home_team_overall_aggressions",770.674646036618
"85","FUL","home_team_overall_aggressions",708.669525376627
"86","LIV","home_team_overall_aggressions",718.716871552432
"87","MCI","home_team_overall_aggressions",742.377087500126
"88","MUN","home_team_overall_aggressions",730.47663720272
"89","NEW","home_team_overall_aggressions",734.512064050046
"90","NOR","home_team_overall_aggressions",737.95496555169
"91","QPR","home_team_overall_aggressions",736.896532611225
"92","REA","home_team_overall_aggressions",690.029411859579
"93","SOU","home_team_overall_aggressions",675.658514737465
"94","STK","home_team_overall_aggressions",788.981459952831
"95","SUN","home_team_overall_aggressions",776.473274901736
"96","SWA","home_team_overall_aggressions",655.707053005728
"97","TOT","home_team_overall_aggressions",750.989244134599
"98","WBA","home_team_overall_aggressions",737.650473601823
"99","WHU","home_team_overall_aggressions",777.334741458901
"100","WIG","home_team_overall_aggressions",694.803918416059
