"","league_name","home_team_short_name","home_team_long_name","home_team_api_id","home_team_overall_ratings","home_team_overall_potentials","home_team_overall_staminas","home_team_overall_agilities","home_team_overall_aggressions"
"1","England Premier League","ARS","Arsenal",9825,869.588396239188,905.044439277847,769.084659196284,760.625843459271,716.612736893661
"2","England Premier League","AVL","Aston Villa",10252,778.378561376965,835.298770969369,779.778565466761,711.110991745669,701.672736073042
"3","England Premier League","CHE","Chelsea",8455,881.575934211569,919.526274740288,812.84175406428,802.598983452587,702.337021250238
"4","England Premier League","EVE","Everton",8668,847.528130240303,872.0597330314,808.182548045051,729.401392117079,770.674646036618
"5","England Premier League","FUL","Fulham",9879,835.552674274649,858.127858185471,760.774047036955,708.27636273381,708.669525376627
"6","England Premier League","LIV","Liverpool",8650,860.556603441954,901.284309755533,800.070956096475,757.956207048848,718.716871552432
"7","England Premier League","MCI","Manchester City",8456,903.45733224104,932.260671566788,814.899202501297,761.873621244962,742.377087500126
"8","England Premier League","MUN","Manchester United",10260,875.724080529714,908.045270450255,767.082978273089,767.418224818131,730.47663720272
"9","England Premier League","NEW","Newcastle United",10261,820.807488030153,860.015254205329,801.266502211308,758.57097276189,734.512064050046
"10","England Premier League","NOR","Norwich City",9850,787.837652204118,818.910903952369,789.693559888387,710.891514319014,737.95496555169
"11","England Premier League","QPR","Queens Park Rangers",10172,815.623562125268,851.738059983339,772.448982328876,751.320997973508,736.896532611225
"12","England Premier League","REA","Reading",9798,746.148662282697,788.650771077957,757.211116081174,681.677883509935,690.029411859579
"13","England Premier League","SOU","Southampton",8466,793.715576816683,854.207158054115,801.662577685944,771.190902376361,675.658514737465
"14","England Premier League","STK","Stoke City",10194,808.317262826779,841.904852727917,808.041533102501,704.255286971093,788.981459952831
"15","England Premier League","SUN","Sunderland",8472,817.375004036943,854.263987556871,805.753331906576,722.292595378585,776.473274901736
"16","England Premier League","SWA","Swansea City",10003,800.637123252288,842.237103546509,754.947573029987,751.641995921952,655.707053005728
"17","England Premier League","TOT","Tottenham Hotspur",8586,869.442270243704,906.015495466769,821.294558086036,778.309811361876,750.989244134599
"18","England Premier League","WBA","West Bromwich Albion",8659,800.853045943569,833.23308964407,773.202840002019,689.368119467058,737.650473601823
"19","England Premier League","WHU","West Ham United",8654,798.861537471528,826.949471197471,802.752999418966,635.122165420593,777.334741458901
"20","England Premier League","WIG","Wigan Athletic",8528,795.04020032964,827.03786971139,783.55403825263,736.159378456792,694.803918416059
